iter	Passed	Remaining
0	233	233284
1	234	117002
2	235	78213
3	236	58814
4	237	47213
5	238	39520
6	239	33967
7	240	29803
8	241	26608
9	242	24016
10	243	21884
11	244	20106
12	245	18617
13	245	17325
14	246	16208
15	247	15231
16	248	14371
17	249	13605
18	250	12930
19	251	12318
20	254	11843
21	255	11365
22	256	10904
23	257	10477
24	258	10085
25	259	9721
26	260	9382
27	261	9079
28	262	8787
29	263	8512
30	264	8255
31	265	8031
32	266	7817
33	267	7603
34	268	7401
35	269	7209
36	270	7028
37	271	6867
38	272	6712
39	273	6563
40	274	6415
41	275	6275
42	275	6139
43	276	6011
44	277	5889
45	278	5779
46	279	5674
47	281	5586
48	282	5485
49	283	5385
50	285	5305
51	286	5219
52	287	5132
53	288	5047
54	289	4967
55	290	4889
56	290	4813
57	292	4744
58	293	4687
59	296	4651
60	298	4588
61	299	4534
62	300	4469
63	301	4407
64	302	4346
65	302	4287
66	304	4235
67	305	4187
68	315	4262
69	316	4211
70	325	4253
71	327	4219
72	328	4174
73	329	4129
74	330	4080
75	331	4034
76	332	3986
77	333	3941
78	334	3897
79	335	3854
80	336	3812
81	336	3770
82	337	3725
83	339	3698
84	340	3667
85	342	3643
86	343	3608
87	344	3571
88	345	3535
89	346	3501
90	347	3467
91	347	3434
92	349	3403
93	350	3373
94	351	3346
95	354	3341
96	356	3316
97	357	3292
98	358	3262
99	359	3234
100	360	3212
101	361	3186
102	362	3159
103	363	3132
104	364	3107
105	365	3082
106	368	3076
107	370	3063
108	372	3042
109	373	3020
110	374	2997
111	375	2974
112	375	2951
113	376	2928
114	377	2905
115	378	2883
116	378	2859
117	379	2838
118	380	2818
119	382	2808
120	384	2791
121	386	2779
122	388	2767
123	389	2748
124	389	2728
125	390	2711
126	391	2691
127	392	2673
128	393	2654
129	393	2636
130	394	2618
131	396	2607
132	398	2597
133	400	2587
134	402	2576
135	403	2560
136	403	2543
137	404	2528
138	405	2513
139	406	2497
140	407	2481
141	407	2464
142	408	2449
143	410	2442
144	412	2432
145	414	2422
146	416	2416
147	417	2401
148	418	2387
149	419	2374
150	419	2360
151	420	2346
152	421	2332
153	422	2318
154	422	2305
155	423	2292
156	425	2285
157	427	2275
158	428	2266
159	430	2260
160	431	2246
161	432	2234
162	432	2222
163	433	2210
164	434	2198
165	435	2186
166	435	2174
167	436	2162
168	437	2151
169	438	2141
170	441	2141
171	444	2137
172	444	2126
173	445	2115
174	446	2105
175	447	2095
176	448	2084
177	449	2073
178	449	2063
179	450	2053
180	451	2042
181	452	2032
182	453	2023
183	455	2020
184	456	2013
185	459	2008
186	459	1999
187	460	1989
188	461	1980
189	462	1971
190	463	1962
191	464	1953
192	464	1944
193	465	1935
194	466	1926
195	467	1916
196	468	1909
197	471	1907
198	472	1900
199	473	1895
200	474	1886
201	475	1878
202	476	1870
203	477	1861
204	477	1853
205	478	1844
206	479	1836
207	480	1828
208	481	1820
209	481	1812
210	482	1804
211	484	1801
212	486	1796
213	487	1791
214	488	1784
215	489	1776
216	490	1769
217	491	1761
218	491	1754
219	492	1746
220	493	1739
221	494	1732
222	495	1724
223	495	1717
224	496	1710
225	497	1705
226	500	1703
227	502	1699
228	502	1693
229	503	1686
230	504	1680
231	505	1673
232	506	1667
233	507	1660
234	508	1653
235	508	1647
236	509	1640
237	510	1633
238	511	1627
239	512	1621
240	515	1622
241	516	1618
242	517	1611
243	518	1605
244	518	1599
245	519	1593
246	520	1586
247	521	1580
248	522	1574
249	522	1568
250	523	1562
251	524	1556
252	525	1550
253	526	1544
254	528	1543
255	529	1539
256	531	1535
257	531	1529
258	532	1524
259	533	1518
260	534	1513
261	535	1507
262	536	1502
263	537	1497
264	537	1491
265	538	1486
266	539	1480
267	540	1475
268	541	1470
269	543	1469
270	544	1465
271	546	1462
272	547	1457
273	548	1452
274	548	1446
275	549	1441
276	550	1436
277	551	1431
278	552	1426
279	552	1421
280	553	1416
281	554	1411
282	555	1406
283	555	1401
284	557	1398
285	559	1396
286	560	1393
287	561	1389
288	562	1384
289	563	1379
290	564	1375
291	565	1370
292	566	1365
293	566	1361
294	567	1356
295	568	1352
296	569	1347
297	570	1343
298	571	1339
299	573	1339
300	575	1335
301	576	1331
302	576	1327
303	577	1322
304	578	1318
305	579	1314
306	580	1309
307	580	1305
308	581	1300
309	582	1296
310	583	1292
311	584	1288
312	585	1284
313	585	1280
314	587	1278
315	589	1275
316	590	1272
317	591	1268
318	592	1263
319	592	1259
320	593	1255
321	594	1251
322	595	1247
323	595	1243
324	596	1239
325	597	1236
326	598	1232
327	599	1228
328	600	1224
329	601	1221
330	604	1221
331	605	1217
332	606	1214
333	606	1210
334	607	1206
335	608	1202
336	609	1199
337	610	1195
338	611	1191
339	611	1187
340	612	1183
341	613	1180
342	614	1176
343	615	1172
344	616	1170
345	618	1168
346	619	1165
347	620	1162
348	621	1158
349	621	1154
350	622	1151
351	623	1147
352	624	1143
353	624	1140
354	625	1137
355	626	1133
356	627	1130
357	628	1126
358	629	1123
359	630	1120
360	633	1120
361	634	1117
362	635	1114
363	635	1111
364	636	1108
365	637	1104
366	638	1101
367	639	1098
368	640	1094
369	641	1091
370	641	1088
371	642	1085
372	643	1081
373	644	1079
374	648	1080
375	649	1078
376	650	1075
377	651	1072
378	652	1069
379	653	1066
380	654	1063
381	655	1060
382	656	1057
383	656	1053
384	657	1050
385	658	1047
386	659	1044
387	662	1044
388	663	1042
389	664	1039
390	665	1036
391	666	1033
392	667	1030
393	667	1027
394	668	1024
395	669	1021
396	670	1017
397	670	1014
398	671	1011
399	672	1008
400	673	1005
401	674	1002
402	675	1000
403	677	1000
404	679	997
405	679	994
406	680	991
407	681	989
408	682	986
409	683	983
410	684	980
411	684	977
412	685	974
413	686	971
414	687	968
415	688	965
416	688	963
417	690	961
418	692	960
419	693	957
420	694	954
421	695	952
422	695	949
423	696	946
424	697	943
425	698	940
426	699	938
427	699	935
428	700	932
429	701	929
430	702	927
431	703	924
432	703	921
433	705	919
434	707	918
435	708	916
436	709	913
437	710	911
438	710	908
439	711	905
440	712	902
441	713	900
442	714	898
443	715	896
444	716	893
445	717	891
446	718	888
447	721	889
448	723	887
449	724	884
450	724	882
451	725	879
452	726	877
453	727	874
454	728	872
455	728	869
456	729	867
457	730	864
458	731	861
459	732	859
460	732	856
461	734	854
462	736	854
463	739	854
464	740	852
465	741	850
466	742	847
467	743	845
468	744	843
469	745	840
470	746	838
471	747	835
472	748	833
473	749	831
474	751	830
475	752	827
476	753	826
477	755	825
478	756	822
479	757	820
480	758	818
481	759	815
482	759	813
483	761	811
484	762	809
485	767	811
486	772	813
487	773	811
488	775	809
489	779	811
490	783	811
491	784	810
492	786	808
493	787	806
494	788	804
495	789	801
496	789	799
497	790	797
498	791	794
499	792	792
500	793	790
501	796	790
502	797	787
503	798	786
504	799	783
505	800	781
506	801	779
507	802	777
508	803	775
509	804	772
510	804	770
511	805	768
512	807	766
513	808	764
514	811	764
515	813	763
516	814	760
517	815	758
518	816	756
519	817	754
520	817	752
521	818	749
522	819	747
523	820	745
524	821	743
525	824	742
526	827	742
527	828	740
528	829	738
529	830	736
530	831	734
531	832	732
532	833	730
533	834	728
534	836	726
535	840	727
536	842	726
537	844	724
538	844	722
539	845	720
540	847	718
541	848	716
542	849	715
543	850	713
544	851	711
545	855	711
546	857	710
547	860	709
548	863	709
549	864	707
550	865	705
551	867	703
552	876	708
553	877	706
554	878	704
555	879	702
556	881	701
557	883	699
558	886	699
559	887	697
560	888	695
561	889	693
562	891	691
563	892	689
564	901	694
565	903	692
566	904	690
567	909	691
568	911	690
569	912	688
570	913	686
571	914	684
572	915	682
573	917	680
574	919	679
575	920	677
576	924	677
577	925	675
578	926	673
579	927	671
580	928	669
581	930	668
582	934	668
583	936	667
584	937	665
585	938	663
586	939	661
587	940	659
588	941	657
589	942	655
590	943	653
591	944	650
592	945	648
593	946	646
594	947	645
595	950	644
596	951	642
597	953	640
598	954	638
599	955	636
600	956	634
601	957	632
602	959	631
603	960	629
604	964	629
605	966	628
606	968	626
607	969	624
608	970	623
609	971	621
610	972	619
611	973	617
612	974	615
613	975	613
614	983	615
615	985	614
616	986	612
617	987	610
618	988	608
619	989	606
620	990	604
621	992	603
622	995	602
623	998	601
624	1000	600
625	1001	598
626	1002	596
627	1003	594
628	1004	592
629	1013	595
630	1015	593
631	1016	591
632	1017	589
633	1018	588
634	1019	586
635	1021	584
636	1024	583
637	1025	581
638	1028	580
639	1029	579
640	1030	577
641	1031	575
642	1032	573
643	1033	571
644	1035	569
645	1039	569
646	1040	567
647	1042	566
648	1044	564
649	1045	562
650	1046	561
651	1049	560
652	1050	558
653	1053	557
654	1055	555
655	1057	554
656	1058	552
657	1059	550
658	1060	548
659	1061	546
660	1062	544
661	1063	542
662	1064	541
663	1065	539
664	1068	538
665	1069	536
666	1071	534
667	1072	532
668	1073	530
669	1073	528
670	1074	527
671	1075	525
672	1076	523
673	1077	521
674	1078	519
675	1079	517
676	1080	515
677	1083	514
678	1084	512
679	1086	511
680	1087	509
681	1088	507
682	1089	505
683	1090	503
684	1091	502
685	1092	500
686	1094	498
687	1098	498
688	1100	496
689	1101	494
690	1102	493
691	1103	491
692	1104	489
693	1105	487
694	1106	485
695	1106	483
696	1107	481
697	1108	479
698	1109	477
699	1110	476
700	1112	474
701	1113	472
702	1114	470
703	1115	468
704	1116	467
705	1117	465
706	1118	463
707	1119	461
708	1119	459
709	1120	457
710	1121	455
711	1122	453
712	1123	452
713	1123	450
714	1125	448
715	1127	447
716	1128	445
717	1129	443
718	1130	441
719	1131	439
720	1132	438
721	1132	436
722	1133	434
723	1134	432
724	1135	430
725	1135	428
726	1136	426
727	1137	425
728	1138	423
729	1140	421
730	1142	420
731	1144	418
732	1145	417
733	1146	415
734	1147	413
735	1148	411
736	1149	410
737	1149	408
738	1150	406
739	1151	404
740	1152	402
741	1153	400
742	1156	399
743	1157	398
744	1159	396
745	1160	395
746	1161	393
747	1162	391
748	1162	389
749	1163	387
750	1164	386
751	1165	384
752	1166	382
753	1167	380
754	1168	379
755	1170	377
756	1171	376
757	1172	374
758	1173	372
759	1174	370
760	1175	369
761	1176	367
762	1177	365
763	1177	363
764	1178	362
765	1179	360
766	1180	358
767	1182	357
768	1183	355
769	1186	354
770	1187	352
771	1189	351
772	1189	349
773	1190	347
774	1191	345
775	1192	344
776	1193	342
777	1194	340
778	1195	339
779	1195	337
780	1196	335
781	1197	333
782	1198	332
783	1201	330
784	1202	329
785	1204	327
786	1204	326
787	1205	324
788	1206	322
789	1207	320
790	1208	319
791	1209	317
792	1210	315
793	1210	314
794	1211	312
795	1212	310
796	1213	309
797	1216	307
798	1217	306
799	1218	304
800	1219	302
801	1220	301
802	1221	299
803	1222	297
804	1222	296
805	1223	294
806	1224	292
807	1225	291
808	1226	289
809	1227	287
810	1228	286
811	1230	284
812	1232	283
813	1233	281
814	1234	280
815	1234	278
816	1235	276
817	1236	275
818	1237	273
819	1238	271
820	1239	270
821	1240	268
822	1240	266
823	1241	265
824	1242	263
825	1245	262
826	1247	260
827	1248	259
828	1249	257
829	1250	256
830	1251	254
831	1252	252
832	1253	251
833	1254	249
834	1254	247
835	1255	246
836	1256	244
837	1257	243
838	1259	241
839	1260	240
840	1262	238
841	1263	237
842	1264	235
843	1264	233
844	1265	232
845	1266	230
846	1267	228
847	1268	227
848	1268	225
849	1269	224
850	1270	222
851	1271	220
852	1272	219
853	1274	217
854	1275	216
855	1277	214
856	1278	213
857	1279	211
858	1280	210
859	1280	208
860	1281	206
861	1282	205
862	1283	203
863	1284	202
864	1285	200
865	1285	198
866	1286	197
867	1288	195
868	1290	194
869	1292	193
870	1293	191
871	1294	189
872	1295	188
873	1296	186
874	1296	185
875	1297	183
876	1298	182
877	1299	180
878	1300	178
879	1300	177
880	1301	175
881	1304	174
882	1306	173
883	1307	171
884	1308	169
885	1309	168
886	1309	166
887	1310	165
888	1311	163
889	1312	162
890	1313	160
891	1314	159
892	1315	157
893	1315	156
894	1316	154
895	1319	153
896	1321	151
897	1322	150
898	1323	148
899	1324	147
900	1324	145
901	1325	144
902	1326	142
903	1327	140
904	1328	139
905	1328	137
906	1329	136
907	1330	134
908	1331	133
909	1335	132
910	1336	130
911	1337	129
912	1338	127
913	1339	126
914	1340	124
915	1340	122
916	1341	121
917	1342	119
918	1343	118
919	1344	116
920	1344	115
921	1345	113
922	1346	112
923	1348	110
924	1350	109
925	1351	108
926	1352	106
927	1353	105
928	1354	103
929	1355	102
930	1356	100
931	1357	99
932	1358	97
933	1358	96
934	1359	94
935	1360	93
936	1361	91
937	1364	90
938	1365	88
939	1366	87
940	1367	85
941	1368	84
942	1369	82
943	1370	81
944	1371	79
945	1371	78
946	1372	76
947	1373	75
948	1374	73
949	1375	72
950	1375	70
951	1377	69
952	1379	68
953	1380	66
954	1381	65
955	1382	63
956	1383	62
957	1383	60
958	1384	59
959	1385	57
960	1386	56
961	1387	54
962	1388	53
963	1389	51
964	1389	50
965	1390	48
966	1392	47
967	1394	46
968	1395	44
969	1396	43
970	1397	41
971	1398	40
972	1399	38
973	1400	37
974	1401	35
975	1401	34
976	1402	33
977	1403	31
978	1404	30
979	1405	28
980	1408	27
981	1409	25
982	1411	24
983	1412	22
984	1412	21
985	1414	20
986	1415	18
987	1415	17
988	1416	15
989	1417	14
990	1418	12
991	1419	11
992	1420	10
993	1422	8
994	1423	7
995	1424	5
996	1425	4
997	1426	2
998	1427	1
999	1428	0
